tile_id,lat_center,lon_center,lat_min,lat_max,lon_min,lon_max,region,fullcycle_support_class,observed_anchor_support,period,region_absorption,latitude_band,aridity_proxy_regime,seasonality_proxy_regime,storage_persistence_alignment_regime,connected_storage_absorption,residual_memory_value,memory_redundancy_index,auc_rain_persistence,auc_rain_state_persistence,brier_rain_persistence,brier_rain_state_persistence,state_monitoring_relevance_score,state_monitoring_priority,fig3_geometry_type,basin_station_geometry_available,geometry_claim_boundary
S060_S050_W180_W170,-55.0,-175.0,-60.0,-50.0,-180.0,-170.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W170_W160,-55.0,-165.0,-60.0,-50.0,-170.0,-160.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W160_W150,-55.0,-155.0,-60.0,-50.0,-160.0,-150.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W150_W140,-55.0,-145.0,-60.0,-50.0,-150.0,-140.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W140_W130,-55.0,-135.0,-60.0,-50.0,-140.0,-130.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W130_W120,-55.0,-125.0,-60.0,-50.0,-130.0,-120.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W120_W110,-55.0,-115.0,-60.0,-50.0,-120.0,-110.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W110_W100,-55.0,-105.0,-60.0,-50.0,-110.0,-100.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W100_W090,-55.0,-95.0,-60.0,-50.0,-100.0,-90.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W090_W080,-55.0,-85.0,-60.0,-50.0,-90.0,-80.0,south_america,non_land_or_outside_domain,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W080_W070,-55.0,-75.0,-60.0,-50.0,-80.0,-70.0,south_america,main_route_candidate_response_support_pending,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W070_W060,-55.0,-65.0,-60.0,-50.0,-70.0,-60.0,south_america,main_route_candidate_response_support_pending,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
S060_S050_W060_W050,-55.0,-55.0,-60.0,-50.0,-60.0,-50.0,south_america,main_route_candidate_response_support_pending,False,,,,,,,,,,,,,,,,glofas_merra2_tile_centroid,False,Main MERRA2-GloFAS authority is tile/region based; station or basin geometry belongs only to observed-anchor support after a separate join audit.
