station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1159110,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,VISRIVIER-OOS,HARDEHEUWEL (27814003),-31.80686289,20.35805214,1502.0,True,False,station_point_only
1159120,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,RENOSTERRIVIER,BONEKRAAL (27814011),-31.8154745,20.57805875,1679.0,True,False,station_point_only
1159130,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,SAK,HOL PADS LEEGTE (27814016),-30.47471203,20.51917583,40073.0,True,False,station_point_only
1159300,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,ORANGE RIVER,UPINGTON,-28.45790547,21.23923533,364560.0,True,False,station_point_only
1159301,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,ORANGE RIVER,PRIESKA (27815102),-29.65171083,22.74591331,339310.0,True,False,station_point_only
1159302,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,ORANGE RIVER,MARKSDRIFT (27815208),-29.16201978,23.69594394,99316.0,True,False,station_point_only
1159310,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,RENOSTERSPRUIT,SHANNON VALLEY (27817207),-29.14416667,26.31805556,348.0,True,False,station_point_only
1159320,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,RIET,KROMDRAAI (27817212),-29.65805556,25.97277778,2381.0,True,False,station_point_only
1159400,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HARTS,TAUNG (27817303),-27.57350603,24.74598156,11044.0,True,False,station_point_only
1159403,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HARTS,ESPAGSDRIF,-27.90320789,24.61514311,23900.0,True,False,station_point_only
1159413,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,VETRIVIER,FIZANTKRAAL,-27.935,26.12444444,16153.0,True,False,station_point_only
1159490,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,VAAL RIVER,DE HOOP 65,-28.51622689,24.60069589,121220.0,True,False,station_point_only
1159520,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HEUNINGSPRUIT,DANKBAAR (27817703),-27.35611111,27.28555556,905.0,True,False,station_point_only
1159525,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,RENOSTERRIVIER,ARRIESRUST,-27.04628,27.00464,5758.0,True,False,station_point_only
1159535,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,VAAL RIVER,KLIPPLAATDRIFT,-27.38972222,26.46388889,79903.0,True,False,station_point_only
1159545,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,VAAL RIVER,PILGRIMS ESTATE,-27.01011,26.69808,63437.0,True,False,station_point_only
1159548,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MOOIRIVIER,WITRAND,-26.64428,27.09033,3595.0,True,False,station_point_only
1159549,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MOOIRIVIERLOOP,BLAAUWBANK,-26.37022,27.24811,1511.0,True,False,station_point_only
1159550,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,VAAL RIVER,DE VAAL,-26.97056,27.20967,49120.0,True,False,station_point_only
1159601,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,WONDERBOOMSPRUIT,DIEPKLOOF (27819101),-31.00111111,26.35305556,2397.0,True,False,station_point_only
1159650,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,ORANGE RIVER,ALIWAL NOORD (27819103),-30.67833333,26.71638889,37070.0,True,False,station_point_only
1159651,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,ORANGE RIVER,ORANJEDRAAI (27819109),-30.33638889,27.35861111,24745.0,True,False,station_point_only
1159653,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KORNETSPRUIT,MAGHALEEN,-30.15972222,27.40138889,2990.0,True,False,station_point_only
1159660,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KRAAIRIVIER,ROODEWAL (27819111),-30.83055556,26.92055556,8689.0,True,False,station_point_only
1159670,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,LITTLE CALEDON RIVER,THE POPLARS (27818012),-28.69485,28.23487,522.0,True,False,station_point_only
