station_id,tile_id,country,river,station,latitude,longitude,area,reference.db,reference.no,metadata_country,metadata_river,metadata_station,metadata_latitude,metadata_longitude,metadata_area,characteristics_quality,characteristics_latitude,characteristics_longitude,characteristics_area_est,characteristics_dist_km,metadata_joined,characteristics_joined,catchment_shapefile_exists,point_geometry_available,basin_geometry_available,geometry_readiness,geometry_source
br_0000201,S15_W060,BR,,HUMBOLDT,-10.1694,-59.4661,15200.0,ana,15750000,BR,,HUMBOLDT,-10.1694,-59.4661,15200.0,High,-10.1688,-59.4688,15312.66,0.3028,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000252,S15_W060,BR,RIO JURUENA,FONTANILHAS,-11.3583,-58.3428,55900.0,ana,17093000,BR,RIO JURUENA,FONTANILHAS,-11.3583,-58.3428,55900.0,High,-11.3563,-58.3396,56060.27,0.4135,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000253,S15_W060,BR,RIO DO SANGUE,FAZENDA TOMBADOR,-11.7181,-58.0481,24700.0,ana,17095000,BR,RIO DO SANGUE,FAZENDA TOMBADOR,-11.7181,-58.0481,24700.0,High,-11.7188,-58.0479,25209.23,0.0808,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000257,S15_W060,BR,RIO ARINOS,,-11.5367,-57.4236,37100.0,ana,17120000,BR,RIO ARINOS,,-11.5367,-57.4236,37100.0,High,-11.5354,-57.4271,37201.39,0.4075,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000262,S15_W060,BR,,PORTO RONCADOR,-13.5575,-55.3347,10800.0,ana,17200000,BR,,PORTO RONCADOR,-13.5575,-55.3347,10800.0,High,-13.5563,-55.3313,10878.8,0.3908,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000265,S15_W060,BR,,,-11.6517,-55.7025,34600.0,ana,17280000,BR,,,-11.6517,-55.7025,34600.0,High,-11.6521,-55.7021,34826.56,0.0622,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0000267,S15_W060,BR,,INDECO,-10.1133,-55.5706,52200.0,ana,17340000,BR,,INDECO,-10.1133,-55.5706,52200.0,High,-10.1104,-55.5688,52574.7,0.3777,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0002740,S15_W060,BR,RIO SANTANA,,-14.4517,-56.8142,1600.0,ana,66006000,BR,RIO SANTANA,,-14.4517,-56.8142,1600.0,High,-14.4521,-56.8146,1647.129,0.0619,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0002745,S15_W060,BR,RIO SEPOTUBA,,-14.8508,-57.7689,5290.0,ana,66050000,BR,RIO SEPOTUBA,,-14.8508,-57.7689,5290.0,High,-14.8521,-57.7688,5320.59,0.1449,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
br_0002759,S15_W060,BR,,,-14.5417,-55.8489,2320.0,ana,66140000,BR,,,-14.5417,-55.8489,2320.0,High,-14.5563,-55.8313,2388.682,2.4932,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
