null_family,draw,statistic,value
within_source_target_permutation,0,lag_family_full_r2,0.3626252383320826
source_block_target_permutation,0,lag_family_full_r2,0.35638187458478654
lag_covariance_surrogate_features,0,lag_family_full_r2,0.11103397275650384
within_source_target_permutation,0,xi_star_r2,0.007343089144477899
within_source_target_permutation,1,lag_family_full_r2,0.5613456760379127
source_block_target_permutation,1,lag_family_full_r2,0.5712308174791842
lag_covariance_surrogate_features,1,lag_family_full_r2,0.188239316260718
within_source_target_permutation,1,xi_star_r2,0.05546165435680883
within_source_target_permutation,2,lag_family_full_r2,0.5557270467387561
source_block_target_permutation,2,lag_family_full_r2,0.48415495956493426
lag_covariance_surrogate_features,2,lag_family_full_r2,0.4238465536091668
within_source_target_permutation,2,xi_star_r2,0.05481944239691561
within_source_target_permutation,3,lag_family_full_r2,0.6340338717627382
source_block_target_permutation,3,lag_family_full_r2,0.40931591497358866
lag_covariance_surrogate_features,3,lag_family_full_r2,0.09447948243819337
within_source_target_permutation,3,xi_star_r2,0.08680765015437986
within_source_target_permutation,4,lag_family_full_r2,0.5425619466520897
source_block_target_permutation,4,lag_family_full_r2,0.4383602104502097
lag_covariance_surrogate_features,4,lag_family_full_r2,0.15854492955293498
within_source_target_permutation,4,xi_star_r2,0.06262500834774543
within_source_target_permutation,5,lag_family_full_r2,0.5142409018497434
source_block_target_permutation,5,lag_family_full_r2,0.08076869056209146
lag_covariance_surrogate_features,5,lag_family_full_r2,0.08596627345101848
within_source_target_permutation,5,xi_star_r2,0.011975902420919504
within_source_target_permutation,6,lag_family_full_r2,0.4223662987364545
source_block_target_permutation,6,lag_family_full_r2,0.5004057915905952
lag_covariance_surrogate_features,6,lag_family_full_r2,0.15574755709605848
within_source_target_permutation,6,xi_star_r2,0.05487289834034548
within_source_target_permutation,7,lag_family_full_r2,0.663441555578302
source_block_target_permutation,7,lag_family_full_r2,0.5375229913498037
lag_covariance_surrogate_features,7,lag_family_full_r2,0.16989798076519147
within_source_target_permutation,7,xi_star_r2,0.11952629270165605
within_source_target_permutation,8,lag_family_full_r2,0.47326262460503055
source_block_target_permutation,8,lag_family_full_r2,0.1896790147442693
lag_covariance_surrogate_features,8,lag_family_full_r2,0.11953779280777799
within_source_target_permutation,8,xi_star_r2,0.00010936626284452355
within_source_target_permutation,9,lag_family_full_r2,0.47687741483195223
source_block_target_permutation,9,lag_family_full_r2,0.29170799464728137
lag_covariance_surrogate_features,9,lag_family_full_r2,0.2655721640238897
within_source_target_permutation,9,xi_star_r2,0.05023305751950202
within_source_target_permutation,10,lag_family_full_r2,0.49488683095419583
source_block_target_permutation,10,lag_family_full_r2,0.4216224831107772
lag_covariance_surrogate_features,10,lag_family_full_r2,0.15947596236767214
within_source_target_permutation,10,xi_star_r2,0.022393095211085345
within_source_target_permutation,11,lag_family_full_r2,0.5129978590358208
source_block_target_permutation,11,lag_family_full_r2,0.4044189413061007
lag_covariance_surrogate_features,11,lag_family_full_r2,0.08626477007947253
within_source_target_permutation,11,xi_star_r2,0.008104782495037766
within_source_target_permutation,12,lag_family_full_r2,0.6280042860200318
source_block_target_permutation,12,lag_family_full_r2,0.405023774140606
lag_covariance_surrogate_features,12,lag_family_full_r2,0.1342803365530144
within_source_target_permutation,12,xi_star_r2,0.049356093941624324
within_source_target_permutation,13,lag_family_full_r2,0.5326790802719366
source_block_target_permutation,13,lag_family_full_r2,0.5602903800477187
lag_covariance_surrogate_features,13,lag_family_full_r2,0.21319843241507686
within_source_target_permutation,13,xi_star_r2,0.12464753641605886
within_source_target_permutation,14,lag_family_full_r2,0.5026644157147688
source_block_target_permutation,14,lag_family_full_r2,0.24921346474441164
lag_covariance_surrogate_features,14,lag_family_full_r2,0.0876796576166049
within_source_target_permutation,14,xi_star_r2,0.008569289594264617
within_source_target_permutation,15,lag_family_full_r2,0.5861965011224715
source_block_target_permutation,15,lag_family_full_r2,0.22975385808997661
lag_covariance_surrogate_features,15,lag_family_full_r2,0.15921132117332826
within_source_target_permutation,15,xi_star_r2,0.20477933982242003
within_source_target_permutation,16,lag_family_full_r2,0.4330308161728059
source_block_target_permutation,16,lag_family_full_r2,0.5979062079701758
lag_covariance_surrogate_features,16,lag_family_full_r2,0.4132049958066498
within_source_target_permutation,16,xi_star_r2,0.004531705333279179
within_source_target_permutation,17,lag_family_full_r2,0.5961205917300905
source_block_target_permutation,17,lag_family_full_r2,0.3254563471399827
lag_covariance_surrogate_features,17,lag_family_full_r2,0.05465750718780904
within_source_target_permutation,17,xi_star_r2,0.012856326682108343
within_source_target_permutation,18,lag_family_full_r2,0.5817033289485527
source_block_target_permutation,18,lag_family_full_r2,0.6048124900682867
lag_covariance_surrogate_features,18,lag_family_full_r2,0.10844453270505827
within_source_target_permutation,18,xi_star_r2,0.0005695269854816276
within_source_target_permutation,19,lag_family_full_r2,0.4246074352369751
source_block_target_permutation,19,lag_family_full_r2,0.1448168706987727
lag_covariance_surrogate_features,19,lag_family_full_r2,0.1908896054961129
within_source_target_permutation,19,xi_star_r2,0.04206690493910592
within_source_target_permutation,20,lag_family_full_r2,0.48778434926291325
source_block_target_permutation,20,lag_family_full_r2,0.15875996004976
lag_covariance_surrogate_features,20,lag_family_full_r2,0.09369187442683391
within_source_target_permutation,20,xi_star_r2,0.08392393002291709
within_source_target_permutation,21,lag_family_full_r2,0.4338185286577333
source_block_target_permutation,21,lag_family_full_r2,0.3536210573207297
lag_covariance_surrogate_features,21,lag_family_full_r2,0.15631041949645275
within_source_target_permutation,21,xi_star_r2,0.062413868811555195
within_source_target_permutation,22,lag_family_full_r2,0.45929676278683695
source_block_target_permutation,22,lag_family_full_r2,0.47813373241057977
lag_covariance_surrogate_features,22,lag_family_full_r2,0.1140106231086554
within_source_target_permutation,22,xi_star_r2,0.03086574136119724
within_source_target_permutation,23,lag_family_full_r2,0.5458259206742244
source_block_target_permutation,23,lag_family_full_r2,0.43896855898590914
lag_covariance_surrogate_features,23,lag_family_full_r2,0.28404575682375854
within_source_target_permutation,23,xi_star_r2,0.16794399393796888
within_source_target_permutation,24,lag_family_full_r2,0.43221885922192493
source_block_target_permutation,24,lag_family_full_r2,0.2542372432184884
lag_covariance_surrogate_features,24,lag_family_full_r2,0.08910713435433759
within_source_target_permutation,24,xi_star_r2,0.0054981052466447355
within_source_target_permutation,25,lag_family_full_r2,0.5097644556343868
source_block_target_permutation,25,lag_family_full_r2,0.560865176841143
lag_covariance_surrogate_features,25,lag_family_full_r2,0.12819290334302358
within_source_target_permutation,25,xi_star_r2,0.022042731039376706
within_source_target_permutation,26,lag_family_full_r2,0.47588619555756073
source_block_target_permutation,26,lag_family_full_r2,0.5321158484516276
lag_covariance_surrogate_features,26,lag_family_full_r2,0.087156712794763
within_source_target_permutation,26,xi_star_r2,0.004748888200738821
within_source_target_permutation,27,lag_family_full_r2,0.5080746462774748
source_block_target_permutation,27,lag_family_full_r2,0.35387825180614585
lag_covariance_surrogate_features,27,lag_family_full_r2,0.06677591452412535
within_source_target_permutation,27,xi_star_r2,0.0004965079953169749
within_source_target_permutation,28,lag_family_full_r2,0.45608025751172443
source_block_target_permutation,28,lag_family_full_r2,0.4462551288000687
lag_covariance_surrogate_features,28,lag_family_full_r2,0.1135388789544689
within_source_target_permutation,28,xi_star_r2,0.04105132259801281
within_source_target_permutation,29,lag_family_full_r2,0.6165119121418561
source_block_target_permutation,29,lag_family_full_r2,0.19595235759049612
lag_covariance_surrogate_features,29,lag_family_full_r2,0.07119073901019723
within_source_target_permutation,29,xi_star_r2,0.17835850086869276
within_source_target_permutation,30,lag_family_full_r2,0.5505879957714946
source_block_target_permutation,30,lag_family_full_r2,0.5197503145886377
lag_covariance_surrogate_features,30,lag_family_full_r2,0.10804755573466518
within_source_target_permutation,30,xi_star_r2,0.0010701877911009072
within_source_target_permutation,31,lag_family_full_r2,0.4096875429748016
source_block_target_permutation,31,lag_family_full_r2,0.2097632371000272
lag_covariance_surrogate_features,31,lag_family_full_r2,0.0712093468143904
within_source_target_permutation,31,xi_star_r2,0.0373793676855233
within_source_target_permutation,32,lag_family_full_r2,0.6570451151595582
source_block_target_permutation,32,lag_family_full_r2,0.4041915607521115
lag_covariance_surrogate_features,32,lag_family_full_r2,0.4399311968931583
within_source_target_permutation,32,xi_star_r2,0.15735126224211526
within_source_target_permutation,33,lag_family_full_r2,0.4896057010145257
source_block_target_permutation,33,lag_family_full_r2,0.30217477343850874
lag_covariance_surrogate_features,33,lag_family_full_r2,0.2596357551439017
within_source_target_permutation,33,xi_star_r2,0.001004248771512839
within_source_target_permutation,34,lag_family_full_r2,0.41472929346164966
source_block_target_permutation,34,lag_family_full_r2,0.5488826666663537
lag_covariance_surrogate_features,34,lag_family_full_r2,0.23443000793593705
within_source_target_permutation,34,xi_star_r2,0.000671651609154722
within_source_target_permutation,35,lag_family_full_r2,0.4643883800481252
source_block_target_permutation,35,lag_family_full_r2,0.22033303170985397
lag_covariance_surrogate_features,35,lag_family_full_r2,0.13757080992186943
within_source_target_permutation,35,xi_star_r2,0.08161606572809865
within_source_target_permutation,36,lag_family_full_r2,0.4880511714064133
