response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,global,global,raw_state,0.8,0.05,-0.006198347107438,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.8,0.1,-0.006198347107438,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.8,0.15,0.0495867768595041,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.85,0.05,-0.006198347107438,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.85,0.1,-0.006198347107438,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.85,0.15,0.4202479338843005,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.9,0.05,-0.006198347107438,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.9,0.1,0.4690082644628099,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.9,0.15,0.7727272727272727,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.925,0.05,0.0392561983471074,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.925,0.1,0.6900826446280992,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.925,0.15,0.9028925619834712,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.95,0.05,0.4896694214876033,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.95,0.1,0.8925619834710743,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.95,0.15,,invalid_lambda,130,62790,3246,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,global,global,raw_state,0.975,0.05,0.8471074380165289,support_ok,130,62790,1687,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,raw_state,0.975,0.1,,invalid_lambda,130,62790,1687,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,global,global,raw_state,0.975,0.15,,invalid_lambda,130,62790,1687,100,0,,,,,ci_invalid_lambda
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.05,-0.006198347107438,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.1,-0.006198347107438,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.15,-0.006198347107438,support_ok,130,62790,12600,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.05,-0.006198347107438,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.1,-0.006198347107438,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.15,-0.006198347107438,support_ok,130,62790,9482,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.9,0.05,-0.006198347107438,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.9,0.1,-0.006198347107438,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.9,0.15,0.4202479338843005,support_ok,130,62790,6364,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.925,0.05,-0.006198347107438,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.925,0.1,0.256198347107438,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.925,0.15,0.7417355371900827,support_ok,130,62790,4805,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.05,-0.006198347107438,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.1,0.6900826446280992,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.95,0.15,0.640495867768595,support_ok,130,62790,3246,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.975,0.05,0.6487603305785123,support_ok,130,62790,1687,100,0,,,,,ci_pending
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.975,0.1,0.3946280991735537,support_ok,130,62790,1687,100,0,,,,,ci_pending
