response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,global,global,raw_state,0.8,0.05,-0.006198347107438,support_ok,130,62790,12600,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.8,0.1,-0.006198347107438,support_ok,130,62790,12600,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.8,0.15,0.0495867768595041,support_ok,130,62790,12600,100,100,-0.006198347107438,0.0495867768595041,0.1053522727272727,0.93,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.85,0.05,-0.006198347107438,support_ok,130,62790,9482,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.85,0.1,-0.006198347107438,support_ok,130,62790,9482,100,100,-0.0103305785123966,-0.006198347107438,0.031095041322314,0.2,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.85,0.15,0.4202479338843005,support_ok,130,62790,9482,100,100,0.3678274793388429,0.4256714876033058,0.4837809917355372,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.9,0.05,-0.006198347107438,support_ok,130,62790,6364,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.9,0.1,0.4690082644628099,support_ok,130,62790,6364,100,100,0.4132231404958678,0.458698347107438,0.531095041322314,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.9,0.15,0.7727272727272727,support_ok,130,62790,6364,100,100,0.7045454545454546,0.7758264462809917,0.8491735537190082,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.925,0.05,0.0392561983471074,support_ok,130,62790,4805,100,100,-0.006198347107438,0.0381818181818181,0.1075485537190082,0.8,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.925,0.1,0.6900826446280992,support_ok,130,62790,4805,100,100,0.6337809917355371,0.6880165289256199,0.7830578512396693,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.925,0.15,0.9028925619834712,support_ok,130,62790,4805,100,100,0.853202479338843,0.9111570247933884,0.9484504132231404,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.95,0.05,0.4896694214876033,support_ok,130,62790,3246,100,100,0.425103305785124,0.487603305785124,0.5476239669421487,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.95,0.1,0.8925619834710743,support_ok,130,62790,3246,100,99,0.8367768595041323,0.8760330578512396,0.9276859504132232,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.95,0.15,,invalid_lambda,130,62790,3246,100,49,,,,,ci_support_limited
mean_daily_mean_dis24,global,global,raw_state,0.975,0.05,0.8471074380165289,support_ok,130,62790,1687,100,100,0.8076446280991736,0.8481404958677685,0.9174586776859504,1.0,ci_built
mean_daily_mean_dis24,global,global,raw_state,0.975,0.1,,invalid_lambda,130,62790,1687,100,27,,,,,ci_support_limited
mean_daily_mean_dis24,global,global,raw_state,0.975,0.15,,invalid_lambda,130,62790,1687,100,0,,,,,ci_support_limited
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.05,-0.006198347107438,support_ok,130,62790,12600,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.1,-0.006198347107438,support_ok,130,62790,12600,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.8,0.15,-0.006198347107438,support_ok,130,62790,12600,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.05,-0.006198347107438,support_ok,130,62790,9482,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.1,-0.006198347107438,support_ok,130,62790,9482,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.85,0.15,-0.006198347107438,support_ok,130,62790,9482,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
mean_daily_mean_dis24,global,global,rain_persistence_matched,0.9,0.05,-0.006198347107438,support_ok,130,62790,6364,100,100,-0.0103305785123966,-0.006198347107438,-0.0041322314049586,0.0,ci_built
